# The license in the LICENSE file does not apply to this file. The data in this file is from SIMBAD (http://simbad.cds.unistra.fr/simbad/). This file is made available under the Open Database License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in individual contents of the database are licensed under the Database Contents License: http://opendatacommons.org/licenses/dbcl/1.0/.
id,otype,ra,dec,pmra,pmdec,rvz,plx,type,mag,extra

BF Ant,dS*,149.22538402416,-27.47515501135,-72.643,23.29,24.77,6.951,A4V,6.312
CC Ant,EB*,158.37238008254,-36.06599366658,-26.982,13.377,null,4.3581,A8III,7.7

α Aps,*,221.96546289704744,-79.04475355458166,-5.133,-16.299,-0.1,6.5509,K3IIICN0.5,3.798
β Aps,PM*,250.76941073843165,-77.51743314838694,-281.986,-354.837,-30.02,20.9535,K0III,4.24
γ Aps,PM*,248.3628438138967,-78.89714816863112,-125.575,-78.212,5.4,21.3033,G8III,3.854
δ^2 Aps,*,245.11190678901,-78.66749603066,-1.817,-31.511,-10.47,5.795,K3III,5.247
ε Aps,Be*,215.59663816720376,-80.10895512187277,-8.757,-15.001,4.5,6.0885,B3V,5.052
κ^1 Aps,Be*,232.87842553883,-73.38959153989,0.996,-18.345,62,3.0798,B2Vnpe,5.49
κ^2 Aps,Pu*,235.0889795186,-73.44666720333,-15.517,-26.408,-19,4.5583,B7III/IV,5.65
θ Aps,LP*,211.33283724970335,-76.79676185989,-88.586,-32.655,10.2,8.3808,M6.5III:,5.5
ζ Aps,*,260.49782373427,-67.77066898815,-37.437,-7.925,11.36,11.1175,K2-III,4.78
ι Aps,**,260.52448185248994,-70.12320626722,-1.881,-11.363,-4.3,3.1948,B8/9V(n),5.39
η Aps,PM*,214.55789958255997,-81.00775849839,-19.981,-65.222,-9.4,22.9229,A2mA7-F2,4.889
R Aps,PM*,224.47076466101,-76.66265469388,-69.161,-16.583,-31.2,7.8879,K4III:,5.359
NN Aps,a2*,232.86298110137994,-71.06212910254,-16.45,-15.473,14,5.0922,Ap(SiCrFe),6.87
NO Aps,LP*,262.86444440762,-80.85913223801,-3.662,-43.943,-19.62,4.1479,M3III,5.856
NP Aps,LP*,213.29535254115,-73.42623923851,-22.808,1.45,null,1.4261,M4III,8.51
NQ Aps,LP*,214.43036418674,-76.08829669431,2.502,-6.158,26.22,1.9349,M3III,7.34
NS Aps,LP*,216.47752882387,-78.4577155282,-5.656,-0.062,-16.48,1.4999,M5III,8.22
NZ Aps,LP*,228.90912816455,-72.39854246577,-10.611,-5.908,-30.55,1.4636,M3/4III,8.04
OO Aps,LP*,229.87103192835,-71.79204055948,-13.715,-11.597,32.33,2.8829,M2III,6.59
OP Aps,dS*,231.13530124865997,-80.44062679999,-15.267,-24.936,26.73,4.81,A9III,8.08
OT Aps,EB*,249.78876653483997,-75.48867821881,-21.457,-13.472,null,3.9527,B9.5IV,8
OU Aps,a2*,250.45158218799,-73.43279696163,-2.754,-23.949,null,3.2159,A0IV/V,8.59
OV Aps,a2*,254.36645636393996,-76.41830753579,-8.886,-31.397,null,3.2213,A7III,8.07
OX Aps,LP*,257.71347004489996,-73.68031534096,4.602,-24.138,-23.2,2.1008,M5III,8.54
OY Aps,LP*,262.72852065873,-81.61155856499,-7.273,-3.571,null,1.3789,M5III,8.36
OZ Aps,*,263.15002625763,-68.06764421116999,-6.914,-7.309,null,2.4991,A1V,8.57
PR Aps,dS*,221.07171007826,-73.96819013868,-13.299,-20.678,null,3.9761,F0III/IV,8.03
PS Aps,EB*,232.79615827097,-78.75295758669,7.23,-66.183,null,7.878,F3V,7.87
PV Aps,EB*,227.86871958121998,-73.42615382892,7.138,8.332,null,6.5633,A9III/IV,7.79

α Aqr,*,331.4459814409479,-0.3198509554241667,18.59,-10.45,6.829,4.9451,G2Ib,2.94,name=Sadalmelik
β Aqr,*,322.88971698347876,-5.5711748280636115,19.214,-8.163,6.451,5.9728,G0Ib,2.89,name=Sadalsuud
γ Aqr,PM*,335.41404820054,-1.38734919411,134.223,11.219,-15.7,25.8551,A0V,3.834,name=Sadachbia
δ Aqr,PM*,343.66252607413,-15.820819565200004,-34.152,-26.359,10.96,23.1451,A3Vp,3.28,name=Skat
ε Aqr,*,311.9189565534167,-9.495776926900833,33.923,-34.936,-19.82,13.3619,B9.5V,3.77,name=Abali
ζ Aqr,**,337.20794519724916,-0.019942847221622,182.92,50.36,25.3,35.5,F2V++F2.5IV-V,3.65
ζ^2 Aqr,**,337.2078700438454,-0.019964649560277777,180.832,33.072,24.9,34.507,F2V+,4.34
κ Aqr,PM*,339.43908560581417,-4.228054800934445,-69.411,-119.631,6.73,14.7149,K1.5IIIbCN0.5,5.03,name=Situla
η Aqr,PM*,338.8390890307466,-0.11749740658833335,89.31,-55.043,-5.5,18.3709,B8/9V,4.03
θ Aqr,PM*,334.20848618584,-7.783288742531944,118.929,-21.928,-13.77,17.0893,G9II,4.16,name=Ancha
ξ Aqr,SB*,324.4379573858483,-7.854201596771944,114.89,-24.434,-18,18.2324,K0III,4.69,name=Bunda
ι Aqr,SB*,331.60928058509376,-13.869680561132501,42.21,-56.566,-11.95,15.494,B8V,4.27
λ Aqr,LP*,343.15364185224,-7.57959692371,14.964,32.742,-10.46,8.936,M2.5IIIFe-0.5,3.79
τ Aqr,*,342.39792075111455,-13.592628543936945,-13.386,-38.609,1.1,10.0171,M0III,3.98
φ Aqr,SB*,348.58065933507993,-6.049006424670001,36.575,-195.441,2.48,14.3482,M1.5III,4.22
ψ^1 Aqr,PM*,348.97289187323753,-9.087734712236944,369.477,-16.981,-26.008,22.0924,K1-IIIFe-0.5,4.25
b^1 Aqr,PM*,350.7426076279984,-20.100582088853056,-121.078,-97.781,-6.1,19.8558,K1III,3.98
b^2 Aqr,PM*,351.51160776192575,-20.642017986579994,-51.118,-63.995,15.7,10.5874,K4.5III,4.39
c^2 Aqr,PM*,347.36165018724955,-21.172415205008054,53.452,30.201,21.3,12.671,K1.5III,3.64

α Aql,dS*,297.69582729638694,8.868321196436963,536.23,385.29,-26.6,194.95,A7Vn,0.76,name=Altair,wellKnownName=true
β Aql,PM*,298.8283035123829,6.406764233985,45.944,-480.965,-40.066,73.5249,G8IV,3.71,name=Alshain
γ Aql,*,296.5649123092774,10.6132587226325,16.233,-1.354,-2.693,5.5899,K3II,2.72,name=Tarazed
δ Aql,**,291.3745891389376,3.114779474957126,254.54,82.51,-36.59,64.41,F1IV-V(n),3.36
ε Aql,SB*,284.90565157804997,15.06828104146,-51.062,-69.439,-45.9,18.1821,K1-IIICN0.5,4.02
ζ Aql,,PM*,286.35253339791666,13.86347728111111,-6.575,-95.909,-25,38.2329,A0IV-Vnn,2.99,name=Okab
ι Aql,*,294.18032376199994,-1.2865996151100005,-1.426,-21.644,-21.34,5.6673,B5III,4.36
η Aql,cC*,298.1182038432421,1.0056588834763889,8.89,-8.322,10.82,3.6715,F6Iab+B9.8V,3.8
θ Aql,SB*,302.82619454879625,-0.8214635937475,35.582,4.596,-28.02,14.2687,B9.5III,3.22
λ Aql,PM*,286.56224439258,-4.88256274593,-19.12,-89.427,-8.8,25.6409,B8.5V,3.43
µ Aql,PM*,293.5223041337724,7.378940091535001,213.28,-156.953,-24.472,29.4091,K3-IIIbFe0.5,4.45
ν Aql,*,291.629538575,0.33857080495,-0.562,-2.294,-0.054,0.8752,F2Ib,4.72
ξ Aql,**,298.5620063246,8.461454288359999,101.694,-81.141,-41.66,17.5183,G9.5IIIb,4.707
i Aql,V*,285.420120295185,-5.739089504799445,-22.592,-43.08,-43.92,21.5669,K1III,4.02
l Aql,SB*,309.5845187022,-1.10511725043,18.766,-19.647,-1.77041,11.43,G7.5IIIa,4.33

α Ara,Be*,262.9603813675,-49.87614501138889,-33.27,-67.22,0,12.2,B2Vne,2.95
β Ara,s*r,261.3249491888263,-55.529881687777774,-8.039,-25.927,0.08,4.5601,K0/1Ib,2.85
γ Ara,Be*,261.3485804629167,-56.37772632638889,-0.44,-15.77,-3,2.93,B1Ib,3.34
δ Ara,PM*,262.77463997460376,-60.68384495524666,-56.279,-98.714,10,14.4688,B8Vn,3.62
ε^1 Ara,*,254.89603381878212,-53.16043786885306,1.015,21.455,23.85,8.852,K3III,4.05
ζ Ara,*,254.65505223357658,-55.9901388628425,-17.518,-36.12,-6,5.7725,K3III,3.076
η Ara,*,252.44648454732084,-59.041379347122216,38.99,-26.095,9,10.6993,K5III,3.744
